		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 24.398438	M = 12500	N = 8	m = 9	n = 100000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
110001010   33   26   29   31   29   22   21   12 14.129483 0.078452 SUCCESS 100
110010000   22   25   28   25   22   19   24   25  2.324397 0.969417 SUCCESS 101
110010010   25   26   25   20   27   27   21   31  3.868134 0.868820 SUCCESS 102
110010100   28   26   20   26   31   16   23   21  6.993341 0.537351 SUCCESS 103
110011000   17   26   34   22   27   27   21   25  7.655321 0.467842 SUCCESS 104
110011010   27   18   19   27   18   30   27   37 13.621083 0.092192 SUCCESS 105
110100000   27   15   29   19   28   25   24   28  7.281964 0.506539 SUCCESS 106
110100010   19   29   30   29   15   30   28   23 10.062279 0.260682 SUCCESS 107
110100100   25   26   23   15   30   27   25   23  5.663423 0.684875 SUCCESS 108
110101000   24   29   32   38   19   20   17   20 16.382862 0.037217 SUCCESS 109
110101010   29   16   26   20   30   16   25   22  9.390370 0.310442 SUCCESS 110
110101100   25   25   17   25   20   30   25   26  4.638017 0.795471 SUCCESS 111
110110000   27   17   13   20   24   16   22   21 12.657902 0.124175 SUCCESS 112
110110010   27   25   25   23   22   32   30   24  4.428169 0.816576 SUCCESS 113
110110100   35   23   24   17   20   23   27   25  8.374893 0.397732 SUCCESS 114
110111000   25   24   29   35   32   28   19   24  9.919953 0.270689 SUCCESS 115
110111010   17   22   22   22   25   28   24   25  3.637103 0.888293 SUCCESS 116
110111100   20   25   28   25   31   24   25   21  3.757584 0.878306 SUCCESS 117
111000000   27   28   24   24   28   19   25   26  2.757994 0.948615 SUCCESS 118
111000010   14   25   27   33   31   20   24   23 10.773245 0.214881 SUCCESS 119
111000100   26   24   34   19   23   30   26   18  8.511260 0.385185 SUCCESS 120
111000110   28   23   25   26   20   30   33   20  6.859621 0.551852 SUCCESS 121
111001000   18   29   24   25   24   33   23   28  6.427348 0.599477 SUCCESS 122
111001010   26   23   16   29   35   21   26   24  9.443328 0.306287 SUCCESS 123
111001100   26   28   20   21   21   19   24   21  4.187208 0.839850 SUCCESS 124
111010000   24   28   28   19   26   24   25   24  2.477977 0.962750 SUCCESS 125
111010010   25   27   18   14   26   25   31   24  8.594670 0.377633 SUCCESS 126
111010100   20   26   30   27   29   20   24   24  4.274590 0.831538 SUCCESS 127
111010110   26   18   24   27   30   25   26   26  3.698667 0.883236 SUCCESS 128
111011000   29   21   14   26   25   23   23   19  7.491812 0.484614 SUCCESS 129
111011010   27   23   21   17   28   22   32   25  6.434630 0.598667 SUCCESS 130
111011100   31   28   25   42   25   29   21   26 17.047490 0.029618 SUCCESS 131
111100000   24   30   29   14   19   18   31   31 13.476109 0.096484 SUCCESS 132
111100010   28   18   30   28   32   20   20   17 10.569356 0.227314 SUCCESS 133
111100100   18   34   21   26   25   29   29   19  9.282467 0.319031 SUCCESS 134
111100110   25   26   27   21   25   21   24   27  1.698164 0.988909 SUCCESS 135
111101000   24   34   24   27   24   29   31   25  6.971495 0.539711 SUCCESS 136
